1818,1,676,134,39,55,1,1,1
1819,1,676,134,39,50,1,1,1
1820,1,676,134,39,50,1,1,1
1821,1,679,132,40,50,1,1,1
1822,1,682,130,41,51,1,1,1
1823,1,685,128,42,51,1,1,1
1824,1,689,126,43,51,1,1,1
1825,1,692,124,45,52,1,1,1
1826,1,692,124,45,52,1,1,1
1827,1,705,117,46,52,1,1,1
1828,1,705,117,46,52,1,1,1
1829,1,710,112,46,52,1,1,1
1830,1,716,108,45,53,1,1,1
1831,1,721,103,45,53,1,1,1
1832,1,721,103,45,53,1,1,1
1833,1,724,99,45,53,1,1,1
1834,1,727,96,44,53,1,1,1
1835,1,730,92,44,54,1,1,1
1836,1,730,92,44,54,1,1,1
1837,1,731,90,43,54,1,1,1
1838,1,733,87,43,54,1,1,1
1839,1,734,85,43,54,1,1,1
1840,1,734,85,43,54,1,1,1
1841,1,736,85,42,54,1,1,1
1842,1,737,84,42,55,1,1,1
1843,1,738,83,41,55,1,1,1
1844,1,738,83,41,55,1,1,1
1845,1,740,84,42,55,1,1,1
1846,1,742,84,42,55,1,1,1
1847,1,743,85,42,55,1,1,1
1848,1,745,85,42,55,1,1,1
1849,1,746,85,42,55,1,1,1
1850,1,748,86,43,55,1,1,1
1851,1,748,86,43,55,1,1,1
1852,1,748,86,43,55,1,1,1
1853,1,748,87,43,55,1,1,1
1854,1,748,87,43,55,1,1,1
1855,1,748,87,43,55,1,1,1
1856,1,748,88,43,55,1,1,1
1857,1,748,88,43,55,1,1,1
1858,1,748,88,43,55,1,1,1
1859,1,746,87,43,55,1,1,1
1860,1,745,86,43,55,1,1,1
1861,1,743,85,43,55,1,1,1
1862,1,742,83,43,55,1,1,1
1863,1,740,82,43,55,1,1,1
1864,1,738,81,43,55,1,1,1
1865,1,738,81,43,55,1,1,1
1866,1,738,81,43,55,1,1,1
1867,1,738,81,43,55,1,1,1
1868,1,737,81,43,55,1,1,1
1869,1,737,81,43,55,1,1,1
1870,1,736,80,43,55,1,1,1
1871,1,736,80,43,55,1,1,1
1872,1,735,80,43,55,1,1,1
1873,1,735,80,43,55,1,1,1
1874,1,734,80,43,55,1,1,1
1875,1,734,80,43,55,1,1,1
1876,1,734,80,43,55,1,1,1
